id,device_id,timestamp,ts_device_ms,gx_dps,gy_dps,gz_dps
-OYt_BC33MNY4_PR9f7p,nano33iot-01,2025-08-30 06:05:31+00:00,333213,-0.061035,-0.549316,0.061035
-OYt_BFq6n_xwbX0yR_R,nano33iot-01,2025-08-30 06:05:32+00:00,333233,0.0,-0.549316,0.12207
-OYt_BJYXmYt3RrPV6HY,nano33iot-01,2025-08-30 06:05:32+00:00,333253,0.0,-0.549316,0.061035
-OYt_BNHKbxd0XU194Yp,nano33iot-01,2025-08-30 06:05:32+00:00,333273,-0.061035,-0.549316,0.12207
-OYt_BQzDBeK6zaGfGHN,nano33iot-01,2025-08-30 06:05:33+00:00,333293,-0.061035,-0.488281,0.061035
-OYt_BUc0u5G2mMerjQU,nano33iot-01,2025-08-30 06:05:33+00:00,333313,-0.061035,-0.488281,0.061035
-OYt_BYR-HCeNi10qn2i,nano33iot-01,2025-08-30 06:05:33+00:00,333333,0.0,-0.549316,0.12207
-OYt_BbJrwu_4gh692tf,nano33iot-01,2025-08-30 06:05:33+00:00,333353,-0.061035,-0.488281,0.12207
-OYt_BmpZh3MaFjW2bSJ,nano33iot-01,2025-08-30 06:05:34+00:00,333413,0.0,-0.549316,0.061035
-OYt_BqTmCroBGS4Vuk8,nano33iot-01,2025-08-30 06:05:34+00:00,333433,0.0,-0.549316,0.12207
-OYt_Bf6XMkEOqKAg-VC,nano33iot-01,2025-08-30 06:05:34+00:00,333373,0.0,-0.549316,0.061035
-OYt_Bj1kqbvljO4Ry87,nano33iot-01,2025-08-30 06:05:34+00:00,333393,-0.061035,-0.549316,0.061035
-OYt_BuElf8UHhh2N3v4,nano33iot-01,2025-08-30 06:05:35+00:00,333453,0.0,-0.549316,0.12207
-OYt_Bxp-wUnOwLChG9r,nano33iot-01,2025-08-30 06:05:35+00:00,333473,0.0,-0.549316,0.12207
-OYt_C0ams5GCRmW5Bhh,nano33iot-01,2025-08-30 06:05:35+00:00,333493,0.0,-0.549316,0.061035
-OYt_C4M4dX6rWZh5y-p,nano33iot-01,2025-08-30 06:05:35+00:00,333513,-0.061035,-0.549316,0.061035
-OYt_C87gVU-vsTRnKSy,nano33iot-01,2025-08-30 06:05:36+00:00,333533,0.0,-0.549316,0.12207
-OYt_CBno24SCe8Aemqx,nano33iot-01,2025-08-30 06:05:36+00:00,333553,0.0,-0.610352,0.061035
-OYt_CFY3RzhZgsdP9Og,nano33iot-01,2025-08-30 06:05:36+00:00,333573,0.0,-0.549316,0.12207
-OYt_CJFX6oJQw-fBtkR,nano33iot-01,2025-08-30 06:05:36+00:00,333593,0.0,-0.549316,0.061035
-OYt_CMvdF_6rz2M0KLi,nano33iot-01,2025-08-30 06:05:36+00:00,333613,-0.061035,-0.549316,0.061035
-OYt_CajuLp9RtWf7moW,nano33iot-01,2025-08-30 06:05:37+00:00,333693,0.0,-0.488281,0.061035
-OYt_CY5AwM_KsGATvzh,nano33iot-01,2025-08-30 06:05:37+00:00,333673,-0.061035,-0.549316,0.12207
