ts_iso,temp_c,humidity
PT0h20m12s,17.70,65.00
PT0h20m15s,17.70,65.10
PT0h20m18s,17.70,65.00
PT0h20m21s,17.70,65.00
PT0h20m24s,17.70,65.10
PT0h20m27s,17.70,65.00
PT0h20m30s,17.70,65.00
PT0h20m33s,17.70,65.00
PT0h20m36s,17.70,65.00
PT0h20m39s,17.70,65.00
PT0h20m42s,17.70,65.10
PT0h20m45s,17.70,65.20
PT0h20m48s,17.70,65.30
PT0h20m51s,17.70,65.30
PT0h20m54s,17.70,65.20
PT0h20m57s,17.70,65.20
PT0h21m0s,17.70,65.10
PT0h21m3s,17.70,65.10
PT0h21m6s,17.70,65.10
PT0h21m9s,17.70,65.00
PT0h21m12s,17.70,65.00
PT0h21m15s,17.70,65.00
PT0h21m18s,17.70,64.90
PT0h21m21s,17.70,64.90
PT0h21m24s,17.70,64.90
PT0h21m27s,17.80,64.90
PT0h21m30s,17.70,64.90
PT0h21m33s,17.80,64.90
PT0h21m36s,17.70,64.90
PT0h21m39s,17.70,64.90
PT0h21m42s,17.80,64.90
PT0h21m45s,17.70,64.90
PT0h21m48s,17.80,64.90
PT0h21m51s,17.80,64.80
PT0h21m54s,17.80,64.80
PT0h21m57s,17.80,64.80
PT0h22m0s,17.80,64.80
PT0h22m3s,17.80,64.80
PT0h22m6s,17.80,64.90
PT0h22m9s,17.80,64.90
PT0h22m12s,17.80,64.80
PT0h22m15s,17.80,64.90
PT0h22m18s,17.80,64.90
PT0h22m21s,17.80,64.80
PT0h22m24s,17.80,64.80
PT0h22m27s,17.80,64.80
PT0h22m30s,17.80,64.90
PT0h22m33s,17.80,64.90
PT0h22m36s,17.80,64.90
PT0h22m39s,17.80,64.90
PT0h22m42s,17.80,64.90
PT0h22m45s,17.80,64.80
PT0h22m48s,17.80,64.80
PT0h22m51s,17.80,64.90
PT0h22m54s,17.80,64.90
PT0h22m57s,17.80,64.80
PT0h23m0s,17.80,64.90
PT0h23m3s,17.80,64.90
PT0h23m6s,17.80,64.90
PT0h23m9s,17.80,64.90
PT0h23m12s,17.80,64.90
PT0h23m15s,17.80,64.90
PT0h23m18s,17.80,64.90
PT0h23m21s,17.80,64.90
PT0h23m24s,17.80,64.90
PT0h23m27s,17.80,64.90
PT0h23m30s,17.80,64.90
PT0h23m33s,17.80,64.90
PT0h23m36s,17.80,64.90
PT0h23m39s,17.80,64.90
PT0h23m42s,17.80,64.90
PT0h23m45s,17.80,64.90
PT0h23m48s,17.80,64.90
PT0h23m51s,17.80,64.90
PT0h23m54s,17.80,64.90
PT0h23m57s,17.80,65.00
PT0h24m0s,17.80,64.90
PT0h24m3s,17.80,64.90
PT0h24m6s,17.80,64.90
PT0h24m9s,17.80,64.90
PT0h24m12s,17.80,64.90
PT0h24m15s,17.80,64.90
PT0h24m18s,17.80,64.90
PT0h24m21s,17.80,64.90
PT0h24m24s,17.80,64.90
PT0h24m27s,17.80,64.90
PT0h24m30s,17.80,64.90
PT0h24m33s,17.80,64.90
PT0h24m36s,17.80,64.90
PT0h24m39s,17.80,64.90
PT0h24m42s,17.80,64.90
PT0h24m45s,17.80,64.90
PT0h24m48s,17.80,64.90
PT0h24m51s,17.80,64.90
PT0h24m54s,17.80,64.90
PT0h24m57s,17.80,64.90
PT0h25m0s,17.80,64.90
PT0h25m3s,17.80,65.10
PT0h25m6s,17.80,65.10
PT0h25m9s,17.80,65.10
PT0h25m12s,17.80,65.10
PT0h25m15s,17.80,65.00
PT0h25m18s,17.80,65.00
PT0h25m21s,17.80,65.00
PT0h25m24s,17.80,65.00
PT0h25m27s,17.80,65.00
PT0h25m30s,17.80,65.00
PT0h25m33s,17.80,65.00
PT0h25m36s,17.80,65.00
PT0h25m39s,17.80,65.00
PT0h25m42s,17.70,65.00
PT0h25m45s,17.70,65.00
PT0h25m48s,17.80,65.00
PT0h25m51s,17.70,65.00
PT0h25m54s,17.80,65.00
PT0h25m57s,17.70,65.00
PT0h26m0s,17.80,65.00
PT0h26m3s,17.70,65.00
PT0h26m6s,17.70,65.00
PT0h26m9s,17.70,65.00
PT0h26m12s,17.70,65.00
PT0h26m15s,17.70,65.00
PT0h26m18s,17.70,65.00
PT0h26m21s,17.70,65.00
PT0h26m24s,17.70,65.00
PT0h26m27s,17.70,65.00
PT0h26m30s,17.70,65.10
PT0h26m33s,17.70,65.00
PT0h26m36s,17.70,65.10
PT0h26m39s,17.70,65.10
PT0h26m42s,17.70,65.10
PT0h26m45s,17.70,65.10
PT0h26m48s,17.70,65.10
PT0h26m51s,17.70,65.10
PT0h26m54s,17.70,65.10
PT0h26m57s,17.70,65.00
PT0h27m0s,17.70,65.10
PT0h27m3s,17.70,65.10
PT0h27m6s,17.70,65.10
PT0h27m9s,17.70,65.10
PT0h27m12s,17.70,65.10
PT0h27m15s,17.70,65.10
PT0h27m18s,17.70,65.10
PT0h27m21s,17.70,65.10
PT0h27m24s,17.70,65.10
PT0h27m27s,17.70,65.10
PT0h27m30s,17.70,65.10
PT0h27m33s,17.70,65.10
PT0h27m36s,17.70,65.10
