ms_since_start,tempC,humidity,accel_rms,iso_time
2598,18.8,61.7,0.0000,2025-10-01T15:17:52
3098,18.8,61.7,0.0000,2025-10-01T15:17:53
3599,18.8,61.7,0.0277,2025-10-01T15:17:53
4099,18.8,61.7,0.0277,2025-10-01T15:17:54
4599,18.8,61.7,0.0000,2025-10-01T15:17:54
5099,18.8,61.7,0.0000,2025-10-01T15:17:55
5599,18.8,61.7,0.0280,2025-10-01T15:17:55
6099,18.8,61.6,0.0281,2025-10-01T15:17:56
6599,18.8,61.6,0.0000,2025-10-01T15:17:56
7099,18.8,61.6,0.0000,2025-10-01T15:17:57
7599,18.8,61.6,0.0278,2025-10-01T15:17:57
8099,18.8,61.6,0.0279,2025-10-01T15:17:58
8599,18.8,61.6,0.0000,2025-10-01T15:17:58
9099,18.8,61.6,0.0000,2025-10-01T15:17:59
9599,18.8,61.6,0.0281,2025-10-01T15:17:59
10100,18.8,61.6,0.0281,2025-10-01T15:18:00
10600,18.8,61.6,0.0000,2025-10-01T15:18:00
11100,18.8,61.6,0.0000,2025-10-01T15:18:01
11600,18.8,61.6,0.0283,2025-10-01T15:18:01
12100,18.8,61.6,0.0283,2025-10-01T15:18:02
12600,18.8,61.6,0.0000,2025-10-01T15:18:02
13100,18.8,61.6,0.0000,2025-10-01T15:18:03
13600,18.8,61.6,0.0000,2025-10-01T15:18:03
14100,18.8,61.7,0.0000,2025-10-01T15:18:04
14600,18.8,61.7,0.0000,2025-10-01T15:18:04
15100,18.8,61.7,0.0000,2025-10-01T15:18:05
15600,18.8,61.7,0.0000,2025-10-01T15:18:05
16100,18.8,61.7,0.0000,2025-10-01T15:18:06
16600,18.8,61.7,0.0000,2025-10-01T15:18:06
17100,18.8,61.7,0.0000,2025-10-01T15:18:07
17600,18.8,61.7,0.0000,2025-10-01T15:18:07
18100,18.8,61.7,0.0000,2025-10-01T15:18:08
18600,18.8,61.7,0.0000,2025-10-01T15:18:08
19100,18.8,61.7,0.0000,2025-10-01T15:18:09
19600,18.8,61.7,0.0000,2025-10-01T15:18:09
20100,18.8,61.7,0.0000,2025-10-01T15:18:10
20600,18.8,61.7,0.0000,2025-10-01T15:18:10
21100,18.8,61.7,0.0000,2025-10-01T15:18:11
21600,18.8,61.7,0.0000,2025-10-01T15:18:11
22100,18.8,61.7,0.0000,2025-10-01T15:18:12
22601,18.8,61.7,0.0284,2025-10-01T15:18:12
23101,18.8,61.7,0.0000,2025-10-01T15:18:13
23601,18.8,61.7,0.0000,2025-10-01T15:18:13
24101,18.8,61.8,0.0000,2025-10-01T15:18:14
24601,18.8,61.8,0.0283,2025-10-01T15:18:14
25101,18.8,61.8,0.0000,2025-10-01T15:18:15
25601,18.8,61.8,0.0000,2025-10-01T15:18:15
26101,18.8,62.1,0.0000,2025-10-01T15:18:16
26601,18.8,62.1,0.0282,2025-10-01T15:18:16
27101,18.8,62.1,0.0000,2025-10-01T15:18:17
27601,18.8,62.1,0.0000,2025-10-01T15:18:17
28101,18.8,63.2,0.0000,2025-10-01T15:18:18
28601,18.8,63.2,0.0000,2025-10-01T15:18:18
29101,18.8,63.2,0.0000,2025-10-01T15:18:19
29601,18.8,63.2,0.0000,2025-10-01T15:18:19
30101,18.8,64.6,0.0000,2025-10-01T15:18:20
30601,18.8,64.6,0.0000,2025-10-01T15:18:20
31101,18.8,64.6,0.0000,2025-10-01T15:18:21
31601,18.8,64.6,0.0000,2025-10-01T15:18:21
32101,18.8,66.3,0.0000,2025-10-01T15:18:22
32601,18.8,66.3,0.0000,2025-10-01T15:18:22
33101,18.8,66.3,0.0000,2025-10-01T15:18:23
33601,18.8,66.3,0.0000,2025-10-01T15:18:23
34101,18.8,67.9,0.0000,2025-10-01T15:18:24
34601,18.8,67.9,0.0000,2025-10-01T15:18:24
35102,18.8,67.9,0.0283,2025-10-01T15:18:25
35602,18.8,67.9,0.0000,2025-10-01T15:18:25
36102,18.8,69.3,0.0000,2025-10-01T15:18:26
36602,18.8,69.3,0.0000,2025-10-01T15:18:26
37102,18.8,69.3,0.0000,2025-10-01T15:18:27
37602,18.8,69.3,0.0000,2025-10-01T15:18:27
38102,18.8,70.5,0.0000,2025-10-01T15:18:28
38602,18.8,70.5,0.0000,2025-10-01T15:18:28
39102,18.8,70.5,0.0000,2025-10-01T15:18:29
39602,18.8,70.5,0.0000,2025-10-01T15:18:29
40102,18.8,71.7,0.0000,2025-10-01T15:18:30
40602,18.8,71.7,0.0000,2025-10-01T15:18:30
41102,18.8,71.7,0.0000,2025-10-01T15:18:31
41602,18.8,71.7,0.0000,2025-10-01T15:18:31
42102,18.8,72.9,0.0000,2025-10-01T15:18:32
42602,18.8,72.9,0.0000,2025-10-01T15:18:32
43102,18.8,72.9,0.0000,2025-10-01T15:18:33
43603,18.8,72.9,0.0287,2025-10-01T15:18:33
44103,18.8,74.0,0.0282,2025-10-01T15:18:34
44603,18.8,74.0,0.0000,2025-10-01T15:18:34
45103,18.8,74.0,0.0000,2025-10-01T15:18:35
45603,18.8,74.0,0.0000,2025-10-01T15:18:35
46103,18.8,74.9,0.0283,2025-10-01T15:18:36
46603,18.8,74.9,0.0000,2025-10-01T15:18:36
47103,18.8,74.9,0.0000,2025-10-01T15:18:37
47603,18.8,74.9,0.0000,2025-10-01T15:18:37
48103,18.9,75.7,0.0000,2025-10-01T15:18:38
48603,18.9,75.7,0.0000,2025-10-01T15:18:38
49103,18.9,75.7,0.0000,2025-10-01T15:18:39
49603,18.9,75.7,0.0000,2025-10-01T15:18:39
50103,18.9,76.6,0.0000,2025-10-01T15:18:40
50603,18.9,76.6,0.0000,2025-10-01T15:18:40
51103,18.9,76.6,0.0000,2025-10-01T15:18:41
51603,18.9,76.6,0.0000,2025-10-01T15:18:41
52103,18.9,77.3,0.0000,2025-10-01T15:18:42
52603,18.9,77.3,0.0000,2025-10-01T15:18:42
53103,18.9,77.3,0.0000,2025-10-01T15:18:43
53603,18.9,77.3,0.0000,2025-10-01T15:18:43
