ms_since_start,tempC,humidity,accel_rms,iso_time
3548,17.2,62.6,0.0000,2025-10-01T21:39:16
4048,17.2,62.6,0.0000,2025-10-01T21:39:17
4548,17.2,62.6,0.0000,2025-10-01T21:39:17
5048,17.2,62.6,0.0000,2025-10-01T21:39:18
5548,17.2,62.6,0.0000,2025-10-01T21:39:18
6048,17.2,62.6,0.0000,2025-10-01T21:39:19
6548,17.2,62.6,0.0000,2025-10-01T21:39:19
7048,17.2,62.6,0.0000,2025-10-01T21:39:20
7548,17.2,62.6,0.0000,2025-10-01T21:39:20
8048,17.2,62.6,0.0000,2025-10-01T21:39:21
8548,17.2,62.6,0.0000,2025-10-01T21:39:21
9048,17.2,62.6,0.0000,2025-10-01T21:39:22
9548,17.2,62.6,0.0000,2025-10-01T21:39:22
10048,17.2,62.6,0.0000,2025-10-01T21:39:23
10548,17.2,62.6,0.0000,2025-10-01T21:39:23
11048,17.2,62.6,0.0000,2025-10-01T21:39:24
11549,17.2,62.6,0.0282,2025-10-01T21:39:24
12050,17.2,62.6,0.0285,2025-10-01T21:39:25
12550,17.2,62.6,0.0000,2025-10-01T21:39:25
13050,17.2,62.6,0.0000,2025-10-01T21:39:26
13550,17.2,62.6,0.0282,2025-10-01T21:39:26
14050,17.2,62.6,0.0000,2025-10-01T21:39:27
14550,17.2,62.6,0.0000,2025-10-01T21:39:27
15050,17.2,62.6,0.0000,2025-10-01T21:39:28
15550,17.2,62.6,0.0000,2025-10-01T21:39:28
16050,17.2,62.6,0.0000,2025-10-01T21:39:29
16550,17.2,62.6,0.0000,2025-10-01T21:39:29
17050,17.2,62.6,0.0000,2025-10-01T21:39:30
17550,17.2,62.6,0.0000,2025-10-01T21:39:30
18050,17.2,62.6,0.0000,2025-10-01T21:39:31
18550,17.2,62.6,0.0000,2025-10-01T21:39:31
19050,17.2,62.6,0.0000,2025-10-01T21:39:32
19550,17.2,62.6,0.0000,2025-10-01T21:39:32
20050,17.2,62.6,0.0000,2025-10-01T21:39:33
20550,17.2,62.6,0.0000,2025-10-01T21:39:33
21050,17.2,62.6,0.0000,2025-10-01T21:39:34
21550,17.2,62.6,0.0000,2025-10-01T21:39:34
22050,17.2,62.6,0.0000,2025-10-01T21:39:35
22551,17.2,62.6,0.0283,2025-10-01T21:39:35
23051,17.2,62.6,0.0000,2025-10-01T21:39:36
23551,17.2,62.6,0.0000,2025-10-01T21:39:36
24051,17.2,62.6,0.0000,2025-10-01T21:39:37
24551,17.2,62.6,0.0285,2025-10-01T21:39:37
25051,17.2,62.6,0.0000,2025-10-01T21:39:38
25551,17.2,62.6,0.0000,2025-10-01T21:39:38
26051,17.2,62.6,0.0000,2025-10-01T21:39:39
26552,17.2,62.6,0.0283,2025-10-01T21:39:39
27052,17.2,62.6,0.0000,2025-10-01T21:39:40
27552,17.2,62.6,0.0000,2025-10-01T21:39:40
28052,17.2,62.6,0.0000,2025-10-01T21:39:41
28552,17.2,62.6,0.0000,2025-10-01T21:39:41
29052,17.2,62.6,0.0000,2025-10-01T21:39:42
29552,17.2,62.6,0.0000,2025-10-01T21:39:42
30052,17.2,62.6,0.0000,2025-10-01T21:39:43
30552,17.2,62.6,0.0000,2025-10-01T21:39:43
31052,17.2,62.6,0.0000,2025-10-01T21:39:44
31552,17.2,62.6,0.0000,2025-10-01T21:39:44
32052,17.2,62.6,0.0000,2025-10-01T21:39:45
32552,17.2,62.6,0.0000,2025-10-01T21:39:45
33052,17.2,62.6,0.0000,2025-10-01T21:39:46
33552,17.2,62.6,0.0000,2025-10-01T21:39:46
34052,17.2,62.6,0.0000,2025-10-01T21:39:47
34552,17.2,62.6,0.0000,2025-10-01T21:39:47
35052,17.2,62.6,0.0000,2025-10-01T21:39:48
35552,17.2,62.6,0.0000,2025-10-01T21:39:48
36052,17.2,62.6,0.0000,2025-10-01T21:39:49
36552,17.2,62.6,0.0000,2025-10-01T21:39:49
37052,17.2,62.6,0.0000,2025-10-01T21:39:50
37552,17.2,62.6,0.0000,2025-10-01T21:39:50
38052,17.2,62.6,0.0000,2025-10-01T21:39:51
38552,17.2,62.6,0.0283,2025-10-01T21:39:51
39052,17.2,62.6,0.0000,2025-10-01T21:39:52
39552,17.2,62.6,0.0000,2025-10-01T21:39:52
40052,17.2,62.6,0.0000,2025-10-01T21:39:53
40552,17.2,62.6,0.0000,2025-10-01T21:39:53
41052,17.2,62.6,0.0000,2025-10-01T21:39:54
41552,17.2,62.6,0.0000,2025-10-01T21:39:54
42052,17.2,62.6,0.0000,2025-10-01T21:39:55
42552,17.2,62.6,0.0000,2025-10-01T21:39:55
43052,17.2,62.6,0.0000,2025-10-01T21:39:56
43552,17.2,62.6,0.0000,2025-10-01T21:39:56
44052,17.2,62.6,0.0000,2025-10-01T21:39:57
44552,17.2,62.6,0.0286,2025-10-01T21:39:57
45052,17.2,62.6,0.0000,2025-10-01T21:39:58
45552,17.2,62.6,0.0000,2025-10-01T21:39:58
46052,17.2,62.6,0.0000,2025-10-01T21:39:59
46552,17.2,62.6,0.0288,2025-10-01T21:39:59
47052,17.2,62.6,0.0000,2025-10-01T21:40:00
47552,17.2,62.6,0.0000,2025-10-01T21:40:00
48052,17.2,62.6,0.0000,2025-10-01T21:40:01
48553,17.2,62.6,0.0281,2025-10-01T21:40:01
49053,17.2,62.6,0.0000,2025-10-01T21:40:02
49553,17.2,62.6,0.0000,2025-10-01T21:40:02
50053,17.2,62.6,0.0000,2025-10-01T21:40:03
50554,17.2,62.6,0.0283,2025-10-01T21:40:03
51054,17.2,62.6,0.0000,2025-10-01T21:40:04
51554,17.2,62.6,0.0000,2025-10-01T21:40:04
52054,17.2,62.6,0.0000,2025-10-01T21:40:05
52554,17.2,62.6,0.0284,2025-10-01T21:40:05
53054,17.2,62.6,0.0000,2025-10-01T21:40:06
53554,17.2,62.6,0.0000,2025-10-01T21:40:06
54054,17.2,62.6,0.0000,2025-10-01T21:40:07
54554,17.2,62.6,0.0277,2025-10-01T21:40:07
55054,17.2,62.6,0.0000,2025-10-01T21:40:08
55554,17.2,62.6,0.0000,2025-10-01T21:40:08
56054,17.2,62.6,0.0000,2025-10-01T21:40:09
56554,17.2,62.6,0.0000,2025-10-01T21:40:09
57054,17.2,62.6,0.0000,2025-10-01T21:40:10
57554,17.2,62.6,0.0000,2025-10-01T21:40:10
58054,17.2,62.6,0.0000,2025-10-01T21:40:11
58554,17.2,62.6,0.0283,2025-10-01T21:40:11
59054,17.2,62.6,0.0000,2025-10-01T21:40:12
59554,17.2,62.6,0.0000,2025-10-01T21:40:12
60054,17.2,62.6,0.0000,2025-10-01T21:40:13
60554,17.2,62.6,0.0000,2025-10-01T21:40:13
61054,17.2,62.6,0.0000,2025-10-01T21:40:14
61554,17.2,62.6,0.0000,2025-10-01T21:40:14
62054,17.2,62.6,0.0000,2025-10-01T21:40:15
62554,17.2,62.6,0.0000,2025-10-01T21:40:15
63054,17.2,62.6,0.0000,2025-10-01T21:40:16
63554,17.2,62.6,0.0000,2025-10-01T21:40:16
64054,17.2,62.6,0.0000,2025-10-01T21:40:17
64554,17.2,62.6,0.0000,2025-10-01T21:40:17
65054,17.2,62.6,0.0000,2025-10-01T21:40:18
65554,17.2,62.6,0.0000,2025-10-01T21:40:18
66054,17.2,62.6,0.0000,2025-10-01T21:40:19
66554,17.2,62.6,0.0000,2025-10-01T21:40:19
67054,17.2,62.6,0.0000,2025-10-01T21:40:20
67554,17.2,62.6,0.0000,2025-10-01T21:40:20
68054,17.2,62.6,0.0000,2025-10-01T21:40:21
68554,17.2,62.6,0.0000,2025-10-01T21:40:21
69054,17.2,62.6,0.0000,2025-10-01T21:40:22
69554,17.2,62.6,0.0000,2025-10-01T21:40:22
70054,17.2,62.6,0.0000,2025-10-01T21:40:23
70554,17.2,62.6,0.0000,2025-10-01T21:40:23
71054,17.2,62.6,0.0000,2025-10-01T21:40:24
71554,17.2,62.6,0.0000,2025-10-01T21:40:24
72054,17.2,62.6,0.0000,2025-10-01T21:40:25
72554,17.2,62.6,0.0000,2025-10-01T21:40:25
73054,17.2,62.6,0.0000,2025-10-01T21:40:26
73554,17.2,62.6,0.0000,2025-10-01T21:40:26
74054,17.2,62.6,0.0000,2025-10-01T21:40:27
74554,17.2,62.6,0.0000,2025-10-01T21:40:27
75054,17.2,62.6,0.0000,2025-10-01T21:40:28
75554,17.2,62.6,0.0000,2025-10-01T21:40:28
76054,17.2,62.6,0.0000,2025-10-01T21:40:29
76554,17.2,62.6,0.0000,2025-10-01T21:40:29
77055,17.2,62.6,0.0293,2025-10-01T21:40:30
77555,17.2,62.6,0.0000,2025-10-01T21:40:30
78055,17.2,62.6,0.0000,2025-10-01T21:40:31
78555,17.2,62.6,0.0000,2025-10-01T21:40:31
79055,17.2,62.6,0.0000,2025-10-01T21:40:32
79555,17.2,62.6,0.0000,2025-10-01T21:40:32
80055,17.2,62.6,0.0000,2025-10-01T21:40:33
80555,17.2,62.6,0.0000,2025-10-01T21:40:33
81055,17.2,62.6,0.0000,2025-10-01T21:40:34
81555,17.2,62.6,0.0000,2025-10-01T21:40:34
82055,17.2,62.6,0.0000,2025-10-01T21:40:35
82555,17.2,62.6,0.0000,2025-10-01T21:40:35
83055,17.2,62.6,0.0277,2025-10-01T21:40:36
83555,17.2,62.6,0.0000,2025-10-01T21:40:36
84055,17.2,62.6,0.0000,2025-10-01T21:40:37
84555,17.2,62.6,0.0000,2025-10-01T21:40:37
85055,17.2,62.6,0.0000,2025-10-01T21:40:38
85555,17.2,62.6,0.0000,2025-10-01T21:40:38
86055,17.2,62.6,0.0000,2025-10-01T21:40:39
86555,17.2,62.6,0.0000,2025-10-01T21:40:39
87055,17.2,62.6,0.0286,2025-10-01T21:40:40
87555,17.2,62.6,0.0000,2025-10-01T21:40:40
88055,17.2,62.6,0.0000,2025-10-01T21:40:41
88555,17.2,62.6,0.0000,2025-10-01T21:40:41
89056,17.2,62.6,0.0279,2025-10-01T21:40:42
89556,17.2,62.6,0.0000,2025-10-01T21:40:42
90056,17.2,62.6,0.0000,2025-10-01T21:40:43
90556,17.2,62.6,0.0000,2025-10-01T21:40:43
91056,17.2,62.6,0.0280,2025-10-01T21:40:44
91556,17.2,62.6,0.0000,2025-10-01T21:40:44
92056,17.2,62.6,0.0000,2025-10-01T21:40:45
92556,17.2,62.6,0.0000,2025-10-01T21:40:45
93057,17.2,62.6,0.0277,2025-10-01T21:40:46
93557,17.2,62.6,0.0000,2025-10-01T21:40:46
94057,17.2,62.6,0.0000,2025-10-01T21:40:47
94557,17.2,62.6,0.0000,2025-10-01T21:40:47
95057,17.2,62.6,0.0000,2025-10-01T21:40:48
95557,17.2,62.6,0.0000,2025-10-01T21:40:48
96057,17.3,62.6,0.0000,2025-10-01T21:40:49
96557,17.3,62.6,0.0000,2025-10-01T21:40:49
97057,17.3,62.6,0.0000,2025-10-01T21:40:50
97557,17.3,62.6,0.0000,2025-10-01T21:40:50
98057,17.2,62.6,0.0000,2025-10-01T21:40:51
98557,17.2,62.6,0.0000,2025-10-01T21:40:51
99057,17.2,62.6,0.0000,2025-10-01T21:40:52
99557,17.2,62.6,0.0000,2025-10-01T21:40:52
100057,17.2,62.6,0.0000,2025-10-01T21:40:53
100557,17.2,62.6,0.0000,2025-10-01T21:40:53
101057,17.2,62.6,0.0000,2025-10-01T21:40:54
101558,17.2,62.6,0.0283,2025-10-01T21:40:54
102058,17.2,62.6,0.0282,2025-10-01T21:40:55
102558,17.2,62.6,0.0000,2025-10-01T21:40:55
103058,17.2,62.6,0.0000,2025-10-01T21:40:56
103558,17.2,62.6,0.0288,2025-10-01T21:40:56
104058,17.2,62.6,0.0279,2025-10-01T21:40:57
104558,17.2,62.6,0.0000,2025-10-01T21:40:57
105058,17.2,62.6,0.0000,2025-10-01T21:40:58
105558,17.2,62.6,0.0301,2025-10-01T21:40:58
106058,17.3,62.6,0.0291,2025-10-01T21:40:59
106558,17.3,62.6,0.0000,2025-10-01T21:40:59
107058,17.3,62.6,0.0000,2025-10-01T21:41:00
107558,17.3,62.6,0.0282,2025-10-01T21:41:00
108059,17.2,62.6,0.0286,2025-10-01T21:41:01
108559,17.2,62.6,0.0000,2025-10-01T21:41:01
109059,17.2,62.6,0.0000,2025-10-01T21:41:02
109559,17.2,62.6,0.0000,2025-10-01T21:41:02
110059,17.2,62.6,0.0000,2025-10-01T21:41:03
110559,17.2,62.6,0.0000,2025-10-01T21:41:03
111059,17.2,62.6,0.0000,2025-10-01T21:41:04
111559,17.2,62.6,0.0000,2025-10-01T21:41:04
112059,17.2,62.6,0.0000,2025-10-01T21:41:05
112559,17.2,62.6,0.0000,2025-10-01T21:41:05
113059,17.2,62.6,0.0000,2025-10-01T21:41:06
113559,17.2,62.6,0.0000,2025-10-01T21:41:06
114059,17.2,62.6,0.0000,2025-10-01T21:41:07
114559,17.2,62.6,0.0000,2025-10-01T21:41:07
115059,17.2,62.6,0.0000,2025-10-01T21:41:08
115559,17.2,62.6,0.0000,2025-10-01T21:41:08
116059,17.2,62.6,0.0000,2025-10-01T21:41:09
116559,17.2,62.6,0.0000,2025-10-01T21:41:09
117059,17.2,62.6,0.0000,2025-10-01T21:41:10
117559,17.2,62.6,0.0000,2025-10-01T21:41:10
118059,17.2,62.6,0.0000,2025-10-01T21:41:11
118559,17.2,62.6,0.0000,2025-10-01T21:41:11
119059,17.2,62.6,0.0000,2025-10-01T21:41:12
119559,17.2,62.6,0.0000,2025-10-01T21:41:12
120059,17.2,62.6,0.0000,2025-10-01T21:41:13
120560,17.2,62.6,0.0283,2025-10-01T21:41:13
121060,17.2,62.6,0.0000,2025-10-01T21:41:14
121560,17.2,62.6,0.0000,2025-10-01T21:41:14
122060,17.2,62.6,0.0000,2025-10-01T21:41:15
122560,17.2,62.6,0.0285,2025-10-01T21:41:15
123060,17.2,62.6,0.0000,2025-10-01T21:41:16
123560,17.2,62.6,0.0000,2025-10-01T21:41:16
124060,17.2,62.6,0.0000,2025-10-01T21:41:17
124560,17.2,62.6,0.0000,2025-10-01T21:41:17
125060,17.2,62.6,0.0000,2025-10-01T21:41:18
125560,17.2,62.6,0.0000,2025-10-01T21:41:18
126060,17.2,62.6,0.0000,2025-10-01T21:41:19
126560,17.2,62.6,0.0294,2025-10-01T21:41:19
127060,17.2,62.6,0.0000,2025-10-01T21:41:20
127560,17.2,62.6,0.0000,2025-10-01T21:41:20
128060,17.2,62.5,0.0000,2025-10-01T21:41:21
128560,17.2,62.5,0.0286,2025-10-01T21:41:21
129060,17.2,62.5,0.0000,2025-10-01T21:41:22
129560,17.2,62.5,0.0000,2025-10-01T21:41:22
130060,17.2,62.6,0.0000,2025-10-01T21:41:23
130560,17.2,62.6,0.0284,2025-10-01T21:41:23
131060,17.2,62.6,0.0000,2025-10-01T21:41:24
131560,17.2,62.6,0.0000,2025-10-01T21:41:24
132060,17.2,62.6,0.0000,2025-10-01T21:41:25
132560,17.2,62.6,0.0000,2025-10-01T21:41:25
133060,17.2,62.6,0.0000,2025-10-01T21:41:26
133560,17.2,62.6,0.0000,2025-10-01T21:41:26
134060,17.3,62.6,0.0000,2025-10-01T21:41:27
134560,17.3,62.6,0.0000,2025-10-01T21:41:27
135060,17.3,62.6,0.0000,2025-10-01T21:41:28
135560,17.3,62.6,0.0000,2025-10-01T21:41:28
136060,17.3,62.6,0.0000,2025-10-01T21:41:29
136560,17.3,62.6,0.0000,2025-10-01T21:41:29
137060,17.3,62.6,0.0000,2025-10-01T21:41:30
137560,17.3,62.6,0.0000,2025-10-01T21:41:30
138060,17.2,62.6,0.0000,2025-10-01T21:41:31
138560,17.2,62.6,0.0000,2025-10-01T21:41:31
139060,17.2,62.6,0.0000,2025-10-01T21:41:32
139560,17.2,62.6,0.0000,2025-10-01T21:41:32
140060,17.3,62.6,0.0000,2025-10-01T21:41:33
140560,17.3,62.6,0.0000,2025-10-01T21:41:33
141061,17.3,62.6,0.0286,2025-10-01T21:41:34
141561,17.3,62.6,0.0000,2025-10-01T21:41:34
142061,17.2,62.6,0.0000,2025-10-01T21:41:35
142561,17.2,62.6,0.0000,2025-10-01T21:41:35
143061,17.2,62.6,0.0000,2025-10-01T21:41:36
143561,17.2,62.6,0.0000,2025-10-01T21:41:36
144061,17.3,62.6,0.0000,2025-10-01T21:41:37
144561,17.3,62.6,0.0000,2025-10-01T21:41:37
145061,17.3,62.6,0.0284,2025-10-01T21:41:38
145561,17.3,62.6,0.0000,2025-10-01T21:41:38
146061,17.3,62.6,0.0000,2025-10-01T21:41:39
146561,17.3,62.6,0.0000,2025-10-01T21:41:39
147061,17.3,62.6,0.0283,2025-10-01T21:41:40
147561,17.3,62.6,0.0000,2025-10-01T21:41:40
148061,17.3,62.6,0.0000,2025-10-01T21:41:41
148561,17.3,62.6,0.0000,2025-10-01T21:41:41
