timestamp,temperature_c,humidity
20250813193018,17.8,58.0
20250813193048,17.7,58.2
20250813193118,17.7,58.3
20250813193148,17.7,58.4
20250813193218,17.7,58.5
20250813193248,17.7,58.5
20250813193318,17.7,58.7
20250813193348,17.6,58.6
20250813193418,17.6,58.7
20250813193448,17.6,58.7
20250813193518,17.6,58.8
20250813193548,17.6,58.9
20250813193618,17.5,58.9
20250813193648,17.5,59.0
20250813193718,17.5,59.1
20250813193748,17.5,59.1
20250813193818,17.5,59.1
20250813193848,17.5,59.2
20250813193918,17.5,59.2
20250813193948,17.5,59.3
20250813194018,17.5,59.3
20250813194048,17.5,59.3
20250813194118,17.4,59.4
20250813194148,17.4,59.4
20250813194218,17.4,59.4
20250813194248,17.4,59.4
20250813194318,17.4,59.5
20250813194348,17.4,59.5
20250813194418,17.4,59.5
20250813194448,17.4,59.5
20250813194518,17.4,59.5
20250813194548,17.4,59.6
20250813194618,17.4,59.6
20250813194648,17.4,59.6
20250813194718,17.4,59.6
20250813194748,17.4,59.6
20250813194818,17.4,59.6
20250813194848,17.4,59.6
20250813194918,17.4,59.6
20250813194948,17.4,59.6
20250813195018,17.4,59.6
20250813195048,17.4,59.6
20250813195118,17.4,59.6
20250813195148,17.3,59.6
20250813195218,17.3,59.6
20250813195248,17.3,59.7
20250813195318,17.3,59.6
20250813195348,17.3,59.8
20250813195418,17.3,59.8
20250813195448,17.3,59.8
20250813195518,17.3,59.8
20250813195548,17.3,59.9
20250813195618,17.3,59.9
20250813195648,17.3,59.9
20250813195718,17.3,59.9
20250813195748,17.2,60.0
20250813195818,17.2,60.1
20250813195848,17.2,60.1
20250813195918,17.2,60.1
20250813195948,17.2,60.1
20250813200018,17.2,60.1
20250813200048,17.2,60.2
20250813200118,17.2,60.2
20250813200148,17.2,60.3
20250813200218,17.2,60.2
20250813200248,17.2,60.2
20250813200318,17.2,60.2
20250813200348,17.2,60.3
20250813200418,17.1,60.3
20250813200448,17.1,60.4
20250813200518,17.1,60.4
20250813200548,17.1,60.4
